FECHA;DÍA_SEMANA;DEMANDA
9/6/17;viernes;2.179.768
10/6/17;sábado;1.264.014
11/6/17;domingo;972.224
12/6/17;lunes;2.031.891
13/6/17;martes;2.079.442
14/6/17;miércoles;2.103.006
15/6/17;jueves;2.107.238
16/6/17;viernes;2.104.764
17/6/17;sábado;1.188.924
18/6/17;domingo;883.814
19/6/17;lunes;1.994.425
20/6/17;martes;2.038.695
21/6/17;miércoles;2.082.851
22/6/17;jueves;2.099.533
23/6/17;viernes;2.046.466
24/6/17;sábado;1.210.746
25/6/17;domingo;905.795
26/6/17;lunes;1.961.779
27/6/17;martes;1.997.910
28/6/17;miércoles;2.019.629
29/6/17;jueves;2.008.314
30/6/17;viernes;2.020.584
1/7/17;sábado;1.371.812
2/7/17;domingo;939.714
3/7/17;lunes;1.885.400
4/7/17;martes;1.902.191
5/7/17;miércoles;1.919.797
6/7/17;jueves;1.844.256
7/7/17;viernes;1.807.623
8/7/17;sábado;1.053.378
9/7/17;domingo;845.969
10/7/17;lunes;1.793.666
11/7/17;martes;1.824.801
12/7/17;miércoles;1.852.458
13/7/17;jueves;1.830.260
14/7/17;viernes;1.784.484
15/7/17;sábado;999.378
16/7/17;domingo;816.001
17/7/17;lunes;1.680.149
18/7/17;martes;1.719.014
19/7/17;miércoles;1.740.279
20/7/17;jueves;1.719.987
21/7/17;viernes;1.668.376
22/7/17;sábado;937.834
23/7/17;domingo;752.571
24/7/17;lunes;1.587.584
25/7/17;martes;1.635.568
26/7/17;miércoles;1.662.704
27/7/17;jueves;1.701.472
28/7/17;viernes;1.612.483
29/7/17;sábado;910.675
30/7/17;domingo;733.032
31/7/17;lunes;1.465.275
1/8/17;martes;1.415.554
2/8/17;miércoles;1.417.677
3/8/17;jueves;1.390.901
4/8/17;viernes;1.356.940
5/8/17;sábado;820.539
6/8/17;domingo;669.881
7/8/17;lunes;1.243.549
8/8/17;martes;1.261.258
9/8/17;miércoles;1.280.210
10/8/17;jueves;1.271.919
11/8/17;viernes;1.244.024
12/8/17;sábado;802.148
13/8/17;domingo;655.051
14/8/17;lunes;1.082.983
15/8/17;martes;716.900
16/8/17;miércoles;1.242.526
17/8/17;jueves;1.205.360
18/8/17;viernes;1.173.468
19/8/17;sábado;763.031
20/8/17;domingo;640.132
21/8/17;lunes;1.205.831
22/8/17;martes;1.243.808
23/8/17;miércoles;1.277.102
24/8/17;jueves;1.266.575
25/8/17;viernes;1.279.533
26/8/17;sábado;826.837
27/8/17;domingo;699.118
28/8/17;lunes;1.295.203
29/8/17;martes;1.402.144
30/8/17;miércoles;1.472.916
31/8/17;jueves;1.521.208
1/9/17;viernes;1.655.638
2/9/17;sábado;1.041.685
3/9/17;domingo;822.394
4/9/17;lunes;1.783.578
5/9/17;martes;1.838.341
6/9/17;miércoles;1.897.743
7/9/17;jueves;1.933.734
8/9/17;viernes;1.932.950
9/9/17;sábado;1.177.445
10/9/17;domingo;968.878
11/9/17;lunes;1.962.665
12/9/17;martes;1.988.979
13/9/17;miércoles;2.069.221
14/9/17;jueves;2.054.258
15/9/17;viernes;2.100.813
16/9/17;sábado;1.291.685
17/9/17;domingo;925.575
18/9/17;lunes;2.014.994
19/9/17;martes;2.076.183
20/9/17;miércoles;2.136.850
21/9/17;jueves;2.121.846
22/9/17;viernes;2.181.363
23/9/17;sábado;1.303.727
24/9/17;domingo;938.304
25/9/17;lunes;2.083.161
26/9/17;martes;2.147.269
27/9/17;miércoles;2.235.625
28/9/17;jueves;2.144.576
29/9/17;viernes;2.266.382
30/9/17;sábado;1.344.209
1/10/17;domingo;1.022.905
2/10/17;lunes;2.144.920
3/10/17;martes;2.206.056
4/10/17;miércoles;2.242.827
5/10/17;jueves;2.263.437
6/10/17;viernes;2.333.653
7/10/17;sábado;1.405.510
8/10/17;domingo;980.802
9/10/17;lunes;2.169.102
10/10/17;martes;2.225.700
11/10/17;miércoles;2.342.401
12/10/17;jueves;1.196.586
13/10/17;viernes;1.858.034
14/10/17;sábado;1.300.146
15/10/17;domingo;920.127
16/10/17;lunes;2.177.043
17/10/17;martes;2.299.626
18/10/17;miércoles;2.330.590
19/10/17;jueves;2.315.691
20/10/17;viernes;2.378.816
21/10/17;sábado;1.405.751
22/10/17;domingo;1.022.922
23/10/17;lunes;2.197.027
24/10/17;martes;2.247.640
25/10/17;miércoles;2.309.841
26/10/17;jueves;2.322.656
27/10/17;viernes;2.392.784
28/10/17;sábado;1.461.797
29/10/17;domingo;1.000.539
30/10/17;lunes;2.197.474
31/10/17;martes;2.477.787
1/11/17;miércoles;992.617
2/11/17;jueves;2.237.363
3/11/17;viernes;2.318.918
4/11/17;sábado;1.323.101
5/11/17;domingo;1.005.439
6/11/17;lunes;2.219.131
7/11/17;martes;2.250.868
8/11/17;miércoles;2.366.148
9/11/17;jueves;1.162.915
10/11/17;viernes;2.123.710
11/11/17;sábado;1.303.804
12/11/17;domingo;957.606
13/11/17;lunes;2.196.601
14/11/17;martes;2.254.168
15/11/17;miércoles;2.278.502
16/11/17;jueves;2.305.302
17/11/17;viernes;2.394.102
18/11/17;sábado;1.492.117
19/11/17;domingo;989.204
20/11/17;lunes;2.222.629
21/11/17;martes;2.280.411
22/11/17;miércoles;2.345.235
23/11/17;jueves;2.330.556
24/11/17;viernes;2.496.664
25/11/17;sábado;1.529.868
26/11/17;domingo;1.048.649
27/11/17;lunes;2.216.870
28/11/17;martes;2.286.858
29/11/17;miércoles;2.439.197
30/11/17;jueves;2.351.442
1/12/17;viernes;2.455.018
2/12/17;sábado;1.539.153
3/12/17;domingo;1.062.785
4/12/17;lunes;2.210.726
5/12/17;martes;2.351.792
6/12/17;miércoles;1.266.168
7/12/17;jueves;1.916.820
8/12/17;viernes;1.317.849
9/12/17;sábado;1.396.895
10/12/17;domingo;926.743
11/12/17;lunes;2.195.220
12/12/17;martes;2.277.806
13/12/17;miércoles;2.309.920
14/12/17;jueves;2.335.346
15/12/17;viernes;2.477.189
16/12/17;sábado;1.626.723
17/12/17;domingo;1.139.003
18/12/17;lunes;2.169.397
19/12/17;martes;2.232.272
20/12/17;miércoles;2.288.591
21/12/17;jueves;2.319.904
22/12/17;viernes;2.188.623
23/12/17;sábado;1.278.867
24/12/17;domingo;674.927
25/12/17;lunes;519.058
26/12/17;martes;1.688.925
27/12/17;miércoles;1.817.087
28/12/17;jueves;1.830.415
29/12/17;viernes;1.798.150
30/12/17;sábado;1.250.098
31/12/17;domingo;878.144
1/1/18;lunes;601.739
2/1/18;martes;1.682.320
3/1/18;miércoles;1.836.198
4/1/18;jueves;1.871.745
5/1/18;viernes;1.841.607
6/1/18;sábado;772.025
7/1/18;domingo;888.370
8/1/18;lunes;2.050.926
9/1/18;martes;2.142.160
10/1/18;miércoles;2.161.536
11/1/18;jueves;2.170.137
12/1/18;viernes;2.279.308
13/1/18;sábado;1.329.018
14/1/18;domingo;943.840
15/1/18;lunes;2.117.784
16/1/18;martes;2.165.772
17/1/18;miércoles;2.263.781
18/1/18;jueves;2.237.346
19/1/18;viernes;2.330.158
20/1/18;sábado;1.446.006
21/1/18;domingo;1.016.452
22/1/18;lunes;2.117.808
23/1/18;martes;2.197.272
24/1/18;miércoles;2.230.172
25/1/18;jueves;2.222.431
26/1/18;viernes;2.254.618
27/1/18;sábado;1.377.569
28/1/18;domingo;1.006.106
29/1/18;lunes;2.124.559
30/1/18;martes;2.197.333
31/1/18;miércoles;2.234.340
1/2/18;jueves;2.265.865
2/2/18;viernes;2.344.713
3/2/18;sábado;1.390.233
4/2/18;domingo;933.316
5/2/18;lunes;2.221.531
6/2/18;martes;2.256.902
7/2/18;miércoles;2.287.440
8/2/18;jueves;2.298.271
9/2/18;viernes;2.371.442
10/2/18;sábado;1.444.269
11/2/18;domingo;1.028.734
12/2/18;lunes;2.225.363
13/2/18;martes;2.289.564
14/2/18;miércoles;2.413.856
15/2/18;jueves;2.192.370
16/2/18;viernes;2.196.237
17/2/18;sábado;1.360.123
18/2/18;domingo;1.052.828
19/2/18;lunes;2.188.879
20/2/18;martes;2.257.304
21/2/18;miércoles;2.308.495
22/2/18;jueves;2.369.882
23/2/18;viernes;2.395.537
24/2/18;sábado;1.471.665
25/2/18;domingo;1.030.489
26/2/18;lunes;2.205.003
27/2/18;martes;2.278.315
28/2/18;miércoles;2.354.743
1/3/18;jueves;2.339.224
2/3/18;viernes;2.422.118
3/3/18;sábado;1.411.927
4/3/18;domingo;978.563
5/3/18;lunes;2.237.771
6/3/18;martes;2.285.998
7/3/18;miércoles;2.335.991
8/3/18;jueves;2.376.275
9/3/18;viernes;2.344.245
10/3/18;sábado;1.309.307
11/3/18;domingo;1.000.654
12/3/18;lunes;2.216.977
13/3/18;martes;2.238.629
14/3/18;miércoles;2.322.659
15/3/18;jueves;2.312.451
16/3/18;viernes;2.417.626
17/3/18;sábado;1.455.250
18/3/18;domingo;1.058.825
19/3/18;lunes;2.194.885
20/3/18;martes;2.280.314
21/3/18;miércoles;2.325.940
22/3/18;jueves;2.358.615
23/3/18;viernes;2.129.153
24/3/18;sábado;1.244.877
25/3/18;domingo;918.137
26/3/18;lunes;1.738.231
27/3/18;martes;1.778.229
28/3/18;miércoles;1.656.868
29/3/18;jueves;960.352
30/3/18;viernes;910.094
31/3/18;sábado;1.002.981
1/4/18;domingo;932.802
2/4/18;lunes;1.820.115
3/4/18;martes;2.210.808
4/4/18;miércoles;2.280.485
5/4/18;jueves;2.359.338
6/4/18;viernes;2.403.512
7/4/18;sábado;1.398.728
8/4/18;domingo;1.070.307
9/4/18;lunes;2.242.025
10/4/18;martes;2.312.445
11/4/18;miércoles;2.364.763
12/4/18;jueves;2.357.846
13/4/18;viernes;2.394.687
14/4/18;sábado;1.390.381
15/4/18;domingo;1.060.173
16/4/18;lunes;2.221.082
17/4/18;martes;2.286.598
18/4/18;miércoles;2.348.918
19/4/18;jueves;2.337.482
20/4/18;viernes;2.427.009
21/4/18;sábado;1.484.938
22/4/18;domingo;1.179.775
23/4/18;lunes;2.249.228
24/4/18;martes;2.296.346
25/4/18;miércoles;2.326.610
26/4/18;jueves;2.415.069
27/4/18;viernes;2.315.971
28/4/18;sábado;1.298.071
29/4/18;domingo;939.348
30/4/18;lunes;1.631.201
1/5/18;martes;978.114
2/5/18;miércoles;990.788
3/5/18;jueves;2.261.722
4/5/18;viernes;2.326.250
5/5/18;sábado;1.372.067
6/5/18;domingo;1.070.360
7/5/18;lunes;2.230.970
8/5/18;martes;2.309.531
9/5/18;miércoles;2.334.999
10/5/18;jueves;2.333.322
11/5/18;viernes;2.377.140
12/5/18;sábado;1.405.691
13/5/18;domingo;1.025.857
14/5/18;lunes;2.103.275
15/5/18;martes;1.246.754
16/5/18;miércoles;2.293.766
17/5/18;jueves;2.289.824
18/5/18;viernes;2.361.221
19/5/18;sábado;1.347.791
20/5/18;domingo;1.010.772
21/5/18;lunes;2.170.493
22/5/18;martes;2.217.717
23/5/18;miércoles;2.288.728
24/5/18;jueves;2.271.402
25/5/18;viernes;2.325.727
26/5/18;sábado;1.380.342
27/5/18;domingo;1.090.112
28/5/18;lunes;2.168.656
29/5/18;martes;2.203.092
30/5/18;miércoles;2.246.921
31/5/18;jueves;2.260.567
1/6/18;viernes;2.231.467
2/6/18;sábado;1.307.911
3/6/18;domingo;1.064.964
4/6/18;lunes;2.087.745
5/6/18;martes;2.202.504
6/6/18;miércoles;2.240.158
7/6/18;jueves;2.297.881
8/6/18;viernes;2.213.159
9/6/18;sábado;1.352.432
10/6/18;domingo;991.799
11/6/18;lunes;2.112.509
12/6/18;martes;2.166.549
13/6/18;miércoles;2.218.341
14/6/18;jueves;2.198.877
15/6/18;viernes;2.145.836
16/6/18;sábado;1.237.680
17/6/18;domingo;962.581
18/6/18;lunes;2.076.784
19/6/18;martes;2.134.936
20/6/18;miércoles;2.151.359
21/6/18;jueves;2.168.560
22/6/18;viernes;2.210.100
23/6/18;sábado;1.254.842
24/6/18;domingo;933.932
25/6/18;lunes;2.016.843
26/6/18;martes;2.080.515
27/6/18;miércoles;2.095.813
28/6/18;jueves;2.130.958
29/6/18;viernes;2.146.333
30/6/18;sábado;1.217.450
1/7/18;domingo;937.008
2/7/18;lunes;1.961.611
3/7/18;martes;2.004.756
4/7/18;miércoles;2.045.065
5/7/18;jueves;2.028.752
6/7/18;viernes;1.980.098
7/7/18;sábado;1.294.935
8/7/18;domingo;906.506
9/7/18;lunes;1.851.589
10/7/18;martes;1.893.262
11/7/18;miércoles;1.909.088
12/7/18;jueves;1.947.829
13/7/18;viernes;1.899.647
14/7/18;sábado;1.141.388
15/7/18;domingo;841.172
16/7/18;lunes;1.764.479
17/7/18;martes;1.800.936
18/7/18;miércoles;1.821.780
19/7/18;jueves;1.798.594
20/7/18;viernes;1.735.368
21/7/18;sábado;989.844
22/7/18;domingo;794.481
23/7/18;lunes;1.653.354
24/7/18;martes;1.696.018
25/7/18;miércoles;1.702.266
26/7/18;jueves;1.703.690
27/7/18;viernes;1.660.338
28/7/18;sábado;972.205
29/7/18;domingo;794.771
30/7/18;lunes;1.601.956
31/7/18;martes;1.621.055
1/8/18;miércoles;1.522.474
2/8/18;jueves;1.434.796
3/8/18;viernes;1.376.588
4/8/18;sábado;816.665
5/8/18;domingo;666.965
6/8/18;lunes;1.237.164
7/8/18;martes;1.271.537
8/8/18;miércoles;1.283.765
9/8/18;jueves;1.265.725
10/8/18;viernes;1.240.314
11/8/18;sábado;826.407
12/8/18;domingo;658.000
13/8/18;lunes;1.155.414
14/8/18;martes;1.193.418
15/8/18;miércoles;730.514
16/8/18;jueves;1.138.303
17/8/18;viernes;1.143.069
18/8/18;sábado;762.707
19/8/18;domingo;671.669
20/8/18;lunes;1.182.571
21/8/18;martes;1.214.599
22/8/18;miércoles;1.230.277
23/8/18;jueves;1.230.009
24/8/18;viernes;1.225.423
25/8/18;sábado;815.164
26/8/18;domingo;673.367
27/8/18;lunes;1.278.759
28/8/18;martes;1.332.779
29/8/18;miércoles;1.382.639
30/8/18;jueves;1.413.471
31/8/18;viernes;1.455.455
1/9/18;sábado;995.817
2/9/18;domingo;827.264
3/9/18;lunes;1.772.320
4/9/18;martes;1.853.191
5/9/18;miércoles;1.929.803
6/9/18;jueves;1.957.558
7/9/18;viernes;2.005.638
8/9/18;sábado;1.148.892
9/9/18;domingo;931.224
10/9/18;lunes;2.051.549
11/9/18;martes;2.083.137
12/9/18;miércoles;2.140.390
13/9/18;jueves;2.190.106
14/9/18;viernes;2.182.187
15/9/18;sábado;1.265.055
16/9/18;domingo;987.585
17/9/18;lunes;2.131.052
18/9/18;martes;2.180.056
19/9/18;miércoles;2.260.322
20/9/18;jueves;2.250.989
21/9/18;viernes;2.332.201
22/9/18;sábado;1.348.057
23/9/18;domingo;983.820
24/9/18;lunes;2.170.188
25/9/18;martes;2.265.296
26/9/18;miércoles;2.256.754
27/9/18;jueves;2.285.132
28/9/18;viernes;2.385.898
29/9/18;sábado;1.408.193
30/9/18;domingo;1.030.793
1/10/18;lunes;2.252.837
2/10/18;martes;2.320.034
3/10/18;miércoles;2.389.272
4/10/18;jueves;2.352.802
5/10/18;viernes;2.424.683
6/10/18;sábado;1.413.095
7/10/18;domingo;1.104.209
8/10/18;lunes;2.265.694
9/10/18;martes;2.354.663
10/10/18;miércoles;2.376.594
11/10/18;jueves;2.408.782
12/10/18;viernes;1.246.341
13/10/18;sábado;1.269.611
14/10/18;domingo;898.567
15/10/18;lunes;2.224.706
16/10/18;martes;2.312.507
17/10/18;miércoles;2.352.012
18/10/18;jueves;2.370.950
19/10/18;viernes;2.469.775
20/10/18;sábado;1.462.969
21/10/18;domingo;1.047.493
22/10/18;lunes;2.267.400
23/10/18;martes;2.372.552
24/10/18;miércoles;2.377.280
25/10/18;jueves;2.405.736
26/10/18;viernes;2.451.776
27/10/18;sábado;1.415.642
28/10/18;domingo;1.035.277
29/10/18;lunes;2.304.800
30/10/18;martes;2.384.679
31/10/18;miércoles;2.570.888
1/11/18;jueves;1.110.352
2/11/18;viernes;1.929.029
3/11/18;sábado;1.386.908
4/11/18;domingo;1.011.381
5/11/18;lunes;2.318.361
6/11/18;martes;2.412.749
7/11/18;miércoles;2.401.230
8/11/18;jueves;2.461.774
9/11/18;viernes;1.331.429
10/11/18;sábado;1.313.085
11/11/18;domingo;959.527
12/11/18;lunes;2.278.431
13/11/18;martes;2.382.019
14/11/18;miércoles;2.392.854
15/11/18;jueves;2.412.523
16/11/18;viernes;2.484.949
17/11/18;sábado;1.466.759
18/11/18;domingo;1.008.376
19/11/18;lunes;2.305.808
20/11/18;martes;2.375.704
21/11/18;miércoles;2.408.093
22/11/18;jueves;2.427.836
23/11/18;viernes;2.610.810
24/11/18;sábado;1.597.617
25/11/18;domingo;1.092.798
26/11/18;lunes;2.321.983
27/11/18;martes;2.382.993
28/11/18;miércoles;2.484.796
29/11/18;jueves;2.447.949
30/11/18;viernes;2.573.561
1/12/18;sábado;1.663.164
2/12/18;domingo;1.106.036
3/12/18;lunes;2.328.671
4/12/18;martes;2.385.409
5/12/18;miércoles;2.519.295
6/12/18;jueves;1.365.098
7/12/18;viernes;1.967.946
8/12/18;sábado;1.438.521
9/12/18;domingo;1.135.857
10/12/18;lunes;2.285.470
11/12/18;martes;2.375.875
12/12/18;miércoles;2.498.647
13/12/18;jueves;2.441.288
14/12/18;viernes;2.558.122
15/12/18;sábado;1.662.288
16/12/18;domingo;1.124.543
17/12/18;lunes;2.311.457
18/12/18;martes;2.370.035
19/12/18;miércoles;2.418.871
20/12/18;jueves;2.463.795
21/12/18;viernes;2.405.663
22/12/18;sábado;1.445.907
23/12/18;domingo;1.141.777
24/12/18;lunes;991.034
25/12/18;martes;583.428
26/12/18;miércoles;1.814.209
27/12/18;jueves;1.923.731
28/12/18;viernes;1.984.706
29/12/18;sábado;1.433.642
30/12/18;domingo;1.210.725
31/12/18;lunes;1.233.615
1/1/19;martes;653.148
2/1/19;miércoles;1.805.500
3/1/19;jueves;1.912.327
4/1/19;viernes;1.926.029
5/1/19;sábado;1.377.603
6/1/19;domingo;811.506
7/1/19;lunes;1.012.869
8/1/19;martes;2.161.057
9/1/19;miércoles;2.239.761
10/1/19;jueves;2.249.798
11/1/19;viernes;2.324.311
12/1/19;sábado;1.384.649
13/1/19;domingo;1.021.259
14/1/19;lunes;2.187.579
15/1/19;martes;2.218.600
16/1/19;miércoles;2.343.734
17/1/19;jueves;2.312.223
18/1/19;viernes;2.382.296
19/1/19;sábado;1.398.332
20/1/19;domingo;1.003.946
21/1/19;lunes;2.270.298
22/1/19;martes;2.333.452
23/1/19;miércoles;2.425.087
24/1/19;jueves;2.434.080
25/1/19;viernes;2.410.313
26/1/19;sábado;1.555.013
27/1/19;domingo;1.109.799
28/1/19;lunes;2.252.438
29/1/19;martes;2.329.501
30/1/19;miércoles;2.384.916
31/1/19;jueves;2.370.742
1/2/19;viernes;2.451.312
2/2/19;sábado;1.482.906
3/2/19;domingo;1.094.999
4/2/19;lunes;2.290.486
5/2/19;martes;2.346.802
6/2/19;miércoles;2.355.182
7/2/19;jueves;2.362.566
8/2/19;viernes;2.437.281
9/2/19;sábado;1.480.198
10/2/19;domingo;1.138.060
11/2/19;lunes;2.250.024
12/2/19;martes;2.311.650
13/2/19;miércoles;2.343.046
14/2/19;jueves;2.406.872
15/2/19;viernes;2.416.329
16/2/19;sábado;1.465.221
17/2/19;domingo;1.094.252
18/2/19;lunes;2.239.934
19/2/19;martes;2.311.124
20/2/19;miércoles;2.390.403
21/2/19;jueves;2.349.016
22/2/19;viernes;2.404.126
23/2/19;sábado;1.427.476
24/2/19;domingo;1.066.136
25/2/19;lunes;2.237.488
26/2/19;martes;2.328.074
27/2/19;miércoles;2.420.696
28/2/19;jueves;2.445.705
1/3/19;viernes;2.314.540
2/3/19;sábado;1.477.464
3/3/19;domingo;1.111.589
4/3/19;lunes;2.125.873
5/3/19;martes;2.363.450
6/3/19;miércoles;2.336.542
7/3/19;jueves;2.387.951
8/3/19;viernes;2.370.071
9/3/19;sábado;1.435.722
10/3/19;domingo;1.051.778
11/3/19;lunes;2.238.006
12/3/19;martes;2.313.606
13/3/19;miércoles;2.355.460
14/3/19;jueves;2.357.288
15/3/19;viernes;2.392.714
16/3/19;sábado;1.463.059
17/3/19;domingo;1.090.027
18/3/19;lunes;2.249.794
19/3/19;martes;2.295.522
20/3/19;miércoles;2.343.719
21/3/19;jueves;2.363.628
22/3/19;viernes;2.402.792
23/3/19;sábado;1.388.574
24/3/19;domingo;1.046.683
25/3/19;lunes;2.234.619
26/3/19;martes;2.306.029
27/3/19;miércoles;2.357.233
28/3/19;jueves;2.376.380
29/3/19;viernes;2.429.542
30/3/19;sábado;1.454.316
31/3/19;domingo;1.029.732
1/4/19;lunes;2.196.230
2/4/19;martes;2.328.386
3/4/19;miércoles;2.358.989
4/4/19;jueves;2.377.124
5/4/19;viernes;2.431.320
6/4/19;sábado;1.449.958
7/4/19;domingo;1.064.885
8/4/19;lunes;2.278.046
9/4/19;martes;2.340.674
10/4/19;miércoles;2.374.677
11/4/19;jueves;2.412.151
12/4/19;viernes;2.176.903
13/4/19;sábado;1.318.688
14/4/19;domingo;1.007.596
15/4/19;lunes;1.744.145
16/4/19;martes;1.743.531
17/4/19;miércoles;1.662.486
18/4/19;jueves;842.898
19/4/19;viernes;834.693
20/4/19;sábado;987.930
21/4/19;domingo;903.884
22/4/19;lunes;1.818.233
23/4/19;martes;2.265.912
24/4/19;miércoles;2.347.973
25/4/19;jueves;2.411.961
26/4/19;viernes;2.427.309
27/4/19;sábado;1.592.920
28/4/19;domingo;1.023.200
29/4/19;lunes;2.210.151
30/4/19;martes;2.331.123
1/5/19;miércoles;1.016.980
2/5/19;jueves;1.043.859
3/5/19;viernes;1.688.653
4/5/19;sábado;1.197.022
5/5/19;domingo;970.218
6/5/19;lunes;2.190.928
7/5/19;martes;2.277.487
8/5/19;miércoles;2.324.975
9/5/19;jueves;2.325.593
10/5/19;viernes;2.384.894
11/5/19;sábado;1.441.574
12/5/19;domingo;1.152.376
13/5/19;lunes;2.211.363
14/5/19;martes;2.382.869
15/5/19;miércoles;1.293.389
16/5/19;jueves;2.269.769
17/5/19;viernes;2.310.943
18/5/19;sábado;1.336.913
19/5/19;domingo;1.021.983
20/5/19;lunes;2.151.988
21/5/19;martes;2.198.695
22/5/19;miércoles;2.254.243
23/5/19;jueves;2.239.208
24/5/19;viernes;2.272.092
25/5/19;sábado;1.294.921
26/5/19;domingo;963.249
27/5/19;lunes;2.151.293
28/5/19;martes;2.227.900
29/5/19;miércoles;2.267.908
30/5/19;jueves;2.304.029
31/5/19;viernes;2.391.891
1/6/19;sábado;1.516.249
2/6/19;domingo;1.055.103
3/6/19;lunes;2.215.021
4/6/19;martes;2.293.574
5/6/19;miércoles;2.344.611
6/6/19;jueves;2.381.212
7/6/19;viernes;2.343.262
8/6/19;sábado;1.388.236
9/6/19;domingo;1.072.778
10/6/19;lunes;2.244.052
11/6/19;martes;2.298.522
12/6/19;miércoles;2.310.703
13/6/19;jueves;2.334.666
14/6/19;viernes;2.308.366
15/6/19;sábado;1.385.164
16/6/19;domingo;1.019.002
17/6/19;lunes;2.154.239
18/6/19;martes;2.205.533
19/6/19;miércoles;2.230.693
20/6/19;jueves;2.238.633
21/6/19;viernes;2.225.667
22/6/19;sábado;1.322.094
23/6/19;domingo;1.031.828
24/6/19;lunes;2.058.244
25/6/19;martes;2.151.125
26/6/19;miércoles;2.169.542
27/6/19;jueves;2.156.505
28/6/19;viernes;2.149.676
29/6/19;sábado;1.288.865
30/6/19;domingo;1.000.385
1/7/19;lunes;2.013.635
2/7/19;martes;2.056.656
3/7/19;miércoles;2.110.633
4/7/19;jueves;2.085.896
5/7/19;viernes;2.074.448
6/7/19;sábado;1.355.360
7/7/19;domingo;1.002.919
8/7/19;lunes;1.924.241
9/7/19;martes;1.957.591
10/7/19;miércoles;1.993.396
11/7/19;jueves;1.964.633
12/7/19;viernes;1.886.072
13/7/19;sábado;1.084.260
14/7/19;domingo;875.875
15/7/19;lunes;1.821.928
16/7/19;martes;1.866.012
17/7/19;miércoles;1.871.519
18/7/19;jueves;1.864.935
19/7/19;viernes;1.810.071
20/7/19;sábado;1.037.663
21/7/19;domingo;831.976
22/7/19;lunes;1.709.638
23/7/19;martes;1.744.288
24/7/19;miércoles;1.770.803
25/7/19;jueves;1.745.295
26/7/19;viernes;1.734.639
27/7/19;sábado;997.069
28/7/19;domingo;801.664
29/7/19;lunes;1.623.241
30/7/19;martes;1.661.983
31/7/19;miércoles;1.669.845
1/8/19;jueves;1.552.793
2/8/19;viernes;1.491.696
3/8/19;sábado;901.882
4/8/19;domingo;728.688
5/8/19;lunes;1.349.883
6/8/19;martes;1.372.361
7/8/19;miércoles;1.384.491
8/8/19;jueves;1.346.198
9/8/19;viernes;1.314.002
10/8/19;sábado;847.730
11/8/19;domingo;703.450
12/8/19;lunes;1.232.103
13/8/19;martes;1.250.473
14/8/19;miércoles;1.268.552
15/8/19;jueves;777.877
16/8/19;viernes;1.080.422
17/8/19;sábado;791.091
18/8/19;domingo;709.821
19/8/19;lunes;1.213.785
20/8/19;martes;1.264.851
21/8/19;miércoles;1.289.404
22/8/19;jueves;1.282.669
23/8/19;viernes;1.275.328
24/8/19;sábado;867.836
25/8/19;domingo;711.781
26/8/19;lunes;1.304.491
27/8/19;martes;1.398.963
28/8/19;miércoles;1.448.894
29/8/19;jueves;1.467.085
30/8/19;viernes;1.485.625
31/8/19;sábado;1.012.649
1/9/19;domingo;889.958
2/9/19;lunes;1.790.868
3/9/19;martes;1.897.419
4/9/19;miércoles;1.972.214
5/9/19;jueves;2.011.190
6/9/19;viernes;2.017.660
7/9/19;sábado;1.207.855
8/9/19;domingo;954.553
9/9/19;lunes;2.049.224
10/9/19;martes;2.182.489
11/9/19;miércoles;2.224.166
12/9/19;jueves;2.245.005
13/9/19;viernes;2.249.476
14/9/19;sábado;1.213.106
15/9/19;domingo;969.643
16/9/19;lunes;2.219.236
17/9/19;martes;2.249.966
18/9/19;miércoles;2.339.056
19/9/19;jueves;2.319.955
20/9/19;viernes;2.361.059
21/9/19;sábado;1.354.712
22/9/19;domingo;1.026.868
23/9/19;lunes;2.228.426
24/9/19;martes;2.296.141
25/9/19;miércoles;2.354.689
26/9/19;jueves;2.356.331
27/9/19;viernes;2.452.901
28/9/19;sábado;1.457.224
29/9/19;domingo;1.076.241
30/9/19;lunes;2.298.059
1/10/19;martes;2.415.503
2/10/19;miércoles;2.432.479
3/10/19;jueves;2.433.003
4/10/19;viernes;2.511.757
5/10/19;sábado;1.522.362
6/10/19;domingo;1.116.662
7/10/19;lunes;2.311.039
8/10/19;martes;2.382.912
9/10/19;miércoles;2.424.762
10/10/19;jueves;2.451.308
11/10/19;viernes;2.470.903
12/10/19;sábado;1.449.483
13/10/19;domingo;1.061.297
14/10/19;lunes;2.326.971
15/10/19;martes;2.407.787
16/10/19;miércoles;2.455.222
17/10/19;jueves;2.285.207
18/10/19;viernes;2.481.006
19/10/19;sábado;1.559.069
20/10/19;domingo;1.077.009
21/10/19;lunes;2.336.723
22/10/19;martes;2.450.285
23/10/19;miércoles;2.449.429
24/10/19;jueves;2.454.824
25/10/19;viernes;2.513.013
26/10/19;sábado;1.541.399
27/10/19;domingo;1.097.468
28/10/19;lunes;2.357.111
29/10/19;martes;2.439.454
30/10/19;miércoles;2.539.757
31/10/19;jueves;2.391.931
1/11/19;viernes;1.210.458
2/11/19;sábado;1.364.751
3/11/19;domingo;1.023.286
4/11/19;lunes;2.325.621
5/11/19;martes;2.428.359
6/11/19;miércoles;2.491.256
7/11/19;jueves;2.493.785
8/11/19;viernes;2.551.202
9/11/19;sábado;1.375.367
10/11/19;domingo;1.087.443
