Código_estación;nombre_estación;ene-15;feb-15;mar-15;abr-15;may-15;jun-15;jul-15;ago-15;sept-15;oct-15;nov-15;dic-15;ene-16;feb-16;mar-16;abr-16;may-16;jun-16;jul-16;ago-16;sept-16;oct-16;nov-16;dic-16;ene-17;feb-17;mar-17;abr-17;may-17;jun-17;jul-17;ago-17;sept-17;oct-17;nov-17;dic-17;ene-18;feb-18;mar-18;abr-18;may-18;jun-18;jul-18;ago-18;sept-18;oct-18;nov-18;dic-18;ene-19;feb-19;mar-19;abr-19;may-19;jun-19;jul-19;ago-19;sept-19;oct-19;nov-19;dic-19;ene-20;feb-20;mar-20;abr-20;may-20;jun-20;jul-20;ago-20;sept-20;oct-20;nov-20;dic-20;ene-21;feb-21;mar-21;abr-21;may-21;jun-21;jul-21;ago-21;sept-21;oct-21;nov-21;dic-21;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sept-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sept-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sept-24;oct-24
1106;La Peseta;62.239;62.344;66.998;64.483;65.663;63.707;54.603;36.826;59.502;68.075;65.148;63.540;61.599;65.442;64.670;67.753;66.717;64.896;54.353;41.891;64.160;69.137;70.932;69.878;70.762;71.616;80.649;69.476;77.308;76.358;64.488;48.134;71.865;79.962;79.273;75.100;79.313;77.415;79.571;82.488;84.415;81.233;69.133;49.490;75.484;87.166;82.672;78.654;83.038;80.929;87.420;76.128;77.559;76.143;65.652;46.635;71.706;85.967;82.558;78.464;81.313;81.598;38.119;8.849;16.317;34.780;42.059;32.209;43.632;47.226;47.641;47.179;55.088;48.091;54.775;52.707;55.699;58.941;47.267;38.224;61.203;67.610;69.845;63.392;59.227;64.527;78.010;68.143;76.566;75.693;60.627;46.118;75.558;83.329;82.834;79.439;84.270;82.344;91.462;79.339;88.014;86.483;71.181;53.134;81.494;90.290;88.636;82.798;86.207;89.082;84.646;94.812;94.234;90.236;75.238;59.145;94.161;107.108
1107;La Fortuna;28.444;27.738;30.576;30.782;29.873;29.854;26.768;20.231;28.239;31.749;31.255;31.840;30.651;31.714;31.909;33.693;34.137;33.589;28.797;24.679;33.502;34.877;34.049;34.443;35.590;44.405;55.815;58.572;53.426;51.324;48.868;39.629;48.902;49.624;47.701;47.995;47.808;45.371;49.427;48.491;50.671;49.041;46.938;39.790;52.232;58.194;56.359;58.802;56.048;51.816;58.468;54.895;56.723;56.870;54.180;43.998;53.555;59.022;57.214;58.197;57.113;55.637;28.347;9.241;15.552;31.731;38.038;32.251;36.729;38.527;35.818;40.493;41.003;36.968;41.388;40.467;42.729;43.836;38.651;34.096;44.526;49.301;50.171;49.517;45.513;46.332;54.528;50.457;53.822;54.553;50.370;41.474;54.955;61.297;60.663;61.585;62.839;60.113;67.076;62.375;66.084;64.783;60.424;50.397;59.151;66.440;66.638;66.879;65.201;64.995;68.502;71.422;79.718;73.867;68.853;60.143;71.183;76.762
1202;Parque de Lisboa;76.588;75.750;80.802;76.386;77.768;73.440;61.378;44.562;71.902;86.002;86.325;83.295;81.254;83.446;80.433;85.356;84.373;79.905;64.991;50.498;75.869;85.351;87.437;83.057;84.799;80.892;89.805;75.181;85.646;81.203;69.452;54.833;78.850;88.857;86.680;79.089;84.777;81.593;81.997;85.007;86.697;80.641;60.422;0;0;48.311;87.691;88.515;91.808;89.462;97.343;88.072;94.928;92.291;81.029;58.605;86.396;101.739;98.100;91.649;98.124;99.043;46.644;10.966;21.440;45.775;53.507;43.834;53.926;59.433;55.235;60.140;63.023;57.079;67.407;65.737;68.885;72.113;63.978;50.724;75.549;86.902;90.135;81.139;76.494;84.199;98.434;86.138;95.991;93.022;78.661;65.262;94.461;105.814;106.893;100.954;105.020;106.189;119.871;103.739;113.881;111.158;94.302;75.483;106.430;118.587;120.457;112.563;110.501;118.403;112.907;122.686;120.475;114.792;102.482;82.594;118.724;138.468
1203;Alcorcón Central;139.454;138.923;145.142;140.353;145.573;138.749;121.418;88.253;135.479;160.909;159.265;148.082;143.696;152.099;142.695;153.113;145.274;140.375;118.192;96.561;146.242;159.145;158.941;143.589;149.924;147.424;158.094;136.041;148.807;144.750;125.256;100.399;151.192;165.988;159.780;140.421;149.899;142.170;143.007;147.569;147.489;139.626;109.988;0;0;86.506;153.738;144.737;154.181;153.768;165.903;148.676;157.849;155.428;138.840;105.577;158.497;183.451;176.370;160.188;170.428;176.182;81.189;20.552;36.057;78.807;95.945;78.724;95.141;106.811;97.501;105.438;114.974;103.707;118.997;113.918;120.580;122.962;105.492;89.047;136.146;159.148;164.254;143.835;137.156;152.701;174.452;151.982;165.669;160.356;138.089;115.137;178.535;195.026;196.937;179.449;187.599;193.147;210.489;181.981;197.612;190.569;165.083;135.378;194.279;217.628;216.206;197.318;204.814;216.300;197.234;215.173;205.986;196.071;178.593;146.352;214.152;247.443
1204;Parque Oeste;89.979;80.859;88.462;84.889;80.522;74.699;62.708;52.536;82.540;97.582;101.520;94.319;93.506;88.582;87.517;87.163;81.753;77.274;66.123;53.080;82.266;88.440;88.534;82.500;86.097;74.470;83.617;71.721;74.099;73.098;66.159;53.137;83.995;87.403;89.462;79.037;79.694;75.142;75.234;77.544;73.260;71.585;57.441;0;0;48.168;85.696;80.981;81.504;75.867;83.608;70.791;74.489;72.872;65.217;51.912;81.979;92.117;95.632;92.637;92.499;91.978;38.152;6.362;12.654;37.468;48.194;42.069;49.526;57.246;46.801;59.664;57.218;52.328;63.320;60.055;63.453;63.085;57.309;49.678;75.909;89.295;93.199;81.173;75.582;79.607;93.165;83.333;84.419;79.554;72.189;61.131;98.317;108.919;107.657;98.335;101.643;100.852;109.973;98.104;99.860;94.778;86.303;71.841;107.450;118.420;118.304;111.286;107.823;114.741;108.241;112.193;104.909;100.106;91.148;78.853;118.433;129.130
1205;Universidad Rey Juan Carlos;92.482;99.924;101.060;95.530;85.505;92.856;100.666;68.263;105.682;127.738;126.402;92.136;93.276;119.820;99.484;110.839;86.971;82.375;51.039;37.448;119.156;127.167;128.819;89.384;108.341;118.786;121.635;88.763;93.326;89.918;57.171;39.546;117.226;143.528;138.516;94.461;114.821;125.906;116.415;118.196;100.476;90.015;56.570;0;0;77.000;128.509;93.374;113.911;129.696;128.453;107.013;101.163;94.620;67.468;42.173;126.347;158.064;140.624;98.736;119.877;140.770;54.120;8.895;14.498;31.880;40.660;29.245;47.864;67.410;60.036;56.327;56.593;63.656;67.502;66.645;69.315;70.802;49.685;34.872;96.319;124.628;138.714;95.274;92.683;125.027;141.115;101.739;106.072;92.134;59.602;43.143;132.514;155.429;161.134;110.590;122.448;148.179;154.804;112.095;122.931;105.983;70.921;51.416;137.912;168.683;167.618;118.739;134.535;162.401;128.183;155.774;126.476;108.882;79.492;54.785;152.780;192.522
1206;Móstoles Central;141.964;140.314;149.827;142.693;144.372;91.150;0;0;108.174;160.333;162.706;148.791;145.922;158.746;156.036;167.763;158.503;148.984;126.347;102.839;165.985;180.227;183.557;162.971;170.994;173.989;189.722;161.236;172.902;166.451;139.395;111.705;178.875;200.541;195.872;168.312;183.276;181.898;180.157;190.805;183.289;172.306;149.921;120.124;206.329;221.019;200.213;176.584;187.968;188.452;200.980;180.211;188.530;180.502;154.759;118.120;181.123;209.748;199.224;175.988;183.759;194.408;92.610;24.317;42.436;83.966;103.143;82.783;104.065;114.133;104.200;112.532;119.526;108.405;129.421;123.700;130.092;129.164;98.197;80.913;135.893;156.331;165.138;146.627;140.464;153.394;178.615;154.719;170.285;161.161;138.565;117.031;179.269;193.260;194.781;176.345;187.908;186.548;208.306;183.496;199.642;193.697;167.802;142.134;200.375;223.228;221.468;202.459;210.524;216.394;201.565;225.582;214.737;205.230;186.277;152.127;217.922;248.721
1207;Pradillo;109.085;105.537;113.564;111.092;116.005;72.645;0;0;83.252;115.939;116.893;116.909;112.447;115.418;115.330;123.886;120.198;115.557;100.293;80.757;120.923;128.952;128.849;128.402;127.851;124.569;136.150;119.872;134.895;126.513;106.513;84.883;126.312;137.419;135.936;127.215;131.962;124.700;126.420;132.279;132.414;123.466;103.801;59.040;85.444;116.984;131.823;128.241;131.849;127.449;141.113;128.258;138.794;135.041;115.622;87.376;127.590;147.933;141.251;136.551;141.276;141.560;67.764;16.198;32.095;67.777;79.995;65.119;80.611;86.586;79.531;84.775;98.183;82.278;97.458;94.399;100.990;99.378;78.930;63.400;102.096;121.174;125.959;118.842;110.293;118.433;135.223;122.576;134.364;130.913;112.017;94.598;143.999;150.459;151.044;146.596;153.540;150.806;166.961;151.758;166.753;159.193;136.067;113.760;160.415;173.512;171.372;167.799;176.253;172.936;163.193;179.405;181.939;167.847;151.011;122.868;178.913;194.671
1208;Hospital de Móstoles;104.105;102.703;109.148;105.122;108.879;68.373;0;0;81.035;113.272;115.294;107.223;104.904;111.314;109.768;113.635;110.912;103.797;84.748;67.883;109.249;118.743;119.485;108.256;113.240;112.179;124.690;106.354;119.889;111.354;89.562;74.030;121.236;134.361;126.261;108.437;118.798;113.516;112.562;121.781;122.608;112.426;92.132;59.107;94.518;117.936;121.886;109.103;118.575;117.120;126.686;113.414;128.577;119.382;100.147;71.588;115.868;136.911;128.303;112.462;123.114;128.183;59.605;16.796;26.501;52.470;62.186;48.134;65.219;72.766;69.588;70.620;77.505;69.783;82.668;81.555;85.268;95.431;94.235;76.592;101.276;110.089;115.733;99.172;94.695;103.738;121.994;105.746;121.235;110.828;88.830;72.168;124.464;133.825;134.838;117.872;127.812;130.079;145.242;128.651;144.391;133.969;105.194;82.826;135.086;145.693;148.714;131.883;141.210;145.604;134.362;151.869;148.942;133.666;113.986;88.086;145.206;168.495
1209;Manuela Malasaña;50.267;51.365;57.174;55.967;58.000;37.008;0;0;44.696;64.663;65.687;61.661;60.047;65.311;61.668;67.802;66.188;63.281;51.376;41.009;65.476;70.967;71.652;66.460;67.202;68.003;76.549;64.631;72.803;71.073;58.102;47.512;72.056;80.638;78.160;66.898;74.059;72.342;71.379;75.693;75.877;70.363;57.137;37.902;59.783;73.716;74.069;66.748;73.196;72.434;79.684;71.341;77.005;73.154;63.703;45.721;73.537;86.302;80.578;71.792;79.671;81.747;38.714;9.634;16.666;34.187;40.636;31.602;43.711;48.570;47.556;46.952;56.590;47.734;55.867;54.506;57.730;39.252;0;0;49.657;66.629;69.991;60.586;58.511;66.351;79.142;68.545;77.187;73.996;59.047;47.632;85.280;90.026;90.369;80.955;88.903;89.433;100.766;87.358;97.655;93.674;74.990;59.444;96.054;106.073;103.128;95.678;101.288;102.320;96.129;110.360;105.379;97.457;85.489;66.426;107.241;122.369
