ene-15;3.786
feb-15;5.125
mar-15;5.484
abr-15;4.345
may-15;4.398
jun-15;4.083
jul-15;3.331
ago-15;2.984
sept-15;3.599
oct-15;4.599
nov-15;3.696
dic-15;2.402
ene-16;3.510
feb-16;2.570
mar-16;3.018
abr-16;3.135
may-16;2.576
jun-16;1.145
jul-16;1.140
ago-16;1.812
sept-16;1.995
oct-16;2.252
nov-16;2.617
dic-16;1.117
ene-17;2.568
feb-17;3.202
mar-17;2.947
abr-17;2.179
may-17;2.664
jun-17;2.261
jul-17;1.505
ago-17;1.787
sept-17;1.562
oct-17;1.164
nov-17;603
dic-17;203
ene-18;672
feb-18;2.163
mar-18;2.138
abr-18;2.818
may-18;2.343
jun-18;2.204
jul-18;2.257
ago-18;1.081
sept-18;1.982
oct-18;3.744
nov-18;2.789
dic-18;1.391
ene-19;2.920
feb-19;2.855
mar-19;3.310
abr-19;2.729
may-19;2.011
jun-19;3.410
jul-19;2.241
ago-19;1.905
sept-19;2.873
oct-19;4.116
nov-19;3.392
dic-19;2.132
ene-20;4.187
feb-20;4.595
mar-20;1.195
abr-20;1
may-20;77
jun-20;120
jul-20;235
ago-20;202
sept-20;116
oct-20;158
nov-20;194
dic-20;199
ene-21;294
feb-21;948
mar-21;847
abr-21;690
may-21;683
jun-21;545
jul-21;267
ago-21;352
sept-21;362
oct-21;494
nov-21;463
dic-21;323
ene-22;381
feb-22;466
mar-22;206
abr-22;868
may-22;1.434
jun-22;3.422
jul-22;2.583
ago-22;502
sept-22;3.917
oct-22;3.680
nov-22;3.372
dic-22;1.559
ene-23;3.668
feb-23;4.174
mar-23;4.432
abr-23;3.643
may-23;3.657
jun-23;2.798
jul-23;1.779
ago-23;1.587
sept-23;2.091
oct-23;3.151
nov-23;2.467
dic-23;733
ene-24;2.664
feb-24;3.112
mar-24;2.281
abr-24;2.389
may-24;2.284
jun-24;2.009
jul-24;1.102
ago-24;846
sept-24;1.783
oct-24;2.064
